	ec1298	ec1314	ec1346	ec1356	ec1359	ec1361	ec1377	ec1378	ec1380	ec1390	ec1393	ec1396	ec1408	ec1409	ec1411	ec1422	ec1425	ec1437	eti101	eti111	eti114	eti121	eti125
ec1298	0.0	0.844	0.774	0.954	0.934	0.852	0.84	0.96	0.868	0.87	0.772	0.904	0.954	0.89	0.874	0.894	0.826	0.848	0.888	0.824	0.9	0.966	0.838
ec1314	0.844	0.0	0.554	0.836	0.576	0.55	0.958	0.658	0.518	0.536	0.92	0.6	0.584	0.602	0.59	0.594	0.51	0.592	0.612	0.626	0.63	0.788	0.756
ec1346	0.774	0.554	0.0	0.886	0.398	0.362	0.844	0.416	0.376	0.586	0.746	0.392	0.618	0.352	0.302	0.35	0.516	0.546	0.332	0.576	0.348	0.792	0.738
ec1356	0.954	0.836	0.886	0.0	0.872	0.742	0.966	0.926	0.856	0.878	0.952	0.866	0.882	0.852	0.854	0.862	0.828	0.884	0.876	0.782	0.89	0.894	0.882
ec1359	0.934	0.576	0.398	0.872	0.0	0.414	0.958	0.424	0.278	0.662	0.934	0.408	0.382	0.376	0.376	0.388	0.626	0.624	0.402	0.682	0.402	0.808	0.85
ec1361	0.852	0.55	0.362	0.742	0.414	0.0	0.788	0.47	0.296	0.566	0.776	0.366	0.6	0.366	0.302	0.378	0.404	0.564	0.346	0.488	0.398	0.79	0.714
ec1377	0.84	0.958	0.844	0.966	0.958	0.788	0.0	0.97	0.802	0.92	0.466	0.882	0.972	0.914	0.822	0.924	0.64	0.924	0.684	0.598	0.91	0.992	0.882
ec1378	0.96	0.658	0.416	0.926	0.424	0.47	0.97	0.0	0.478	0.72	0.97	0.208	0.654	0.224	0.308	0.352	0.682	0.658	0.454	0.722	0.234	0.816	0.888
ec1380	0.868	0.518	0.376	0.856	0.278	0.296	0.802	0.478	0.0	0.632	0.78	0.404	0.49	0.406	0.366	0.444	0.502	0.608	0.342	0.546	0.436	0.798	0.782
ec1390	0.87	0.536	0.586	0.878	0.662	0.566	0.92	0.72	0.632	0.0	0.826	0.68	0.39	0.656	0.596	0.516	0.522	0.612	0.618	0.592	0.572	0.78	0.628
ec1393	0.772	0.92	0.746	0.952	0.934	0.776	0.466	0.97	0.78	0.826	0.0	0.916	0.946	0.902	0.83	0.886	0.676	0.904	0.762	0.684	0.894	0.96	0.814
ec1396	0.904	0.6	0.392	0.866	0.408	0.366	0.882	0.208	0.404	0.68	0.916	0.0	0.626	0.188	0.232	0.31	0.638	0.64	0.406	0.646	0.182	0.8	0.838
ec1408	0.954	0.584	0.618	0.882	0.382	0.6	0.972	0.654	0.49	0.39	0.946	0.626	0.0	0.636	0.626	0.51	0.674	0.622	0.64	0.654	0.556	0.788	0.848
ec1409	0.89	0.602	0.352	0.852	0.376	0.366	0.914	0.224	0.406	0.656	0.902	0.188	0.636	0.0	0.22	0.274	0.556	0.606	0.364	0.612	0.162	0.796	0.808
ec1411	0.874	0.59	0.302	0.854	0.376	0.302	0.822	0.308	0.366	0.596	0.83	0.232	0.626	0.22	0.0	0.246	0.494	0.586	0.298	0.548	0.238	0.782	0.75
ec1422	0.894	0.594	0.35	0.862	0.388	0.378	0.924	0.352	0.444	0.516	0.886	0.31	0.51	0.274	0.246	0.0	0.574	0.564	0.37	0.584	0.198	0.78	0.788
ec1425	0.826	0.51	0.516	0.828	0.626	0.404	0.64	0.682	0.502	0.522	0.676	0.638	0.674	0.556	0.494	0.574	0.0	0.56	0.46	0.384	0.606	0.788	0.728
ec1437	0.848	0.592	0.546	0.884	0.624	0.564	0.924	0.658	0.608	0.612	0.904	0.64	0.622	0.606	0.586	0.564	0.56	0.0	0.622	0.626	0.612	0.79	0.792
eti101	0.888	0.612	0.332	0.876	0.402	0.346	0.684	0.454	0.342	0.618	0.762	0.406	0.64	0.364	0.298	0.37	0.46	0.622	0.0	0.388	0.36	0.79	0.768
eti111	0.824	0.626	0.576	0.782	0.682	0.488	0.598	0.722	0.546	0.592	0.684	0.646	0.654	0.612	0.548	0.584	0.384	0.626	0.388	0.0	0.6	0.778	0.722
eti114	0.9	0.63	0.348	0.89	0.402	0.398	0.91	0.234	0.436	0.572	0.894	0.182	0.556	0.162	0.238	0.198	0.606	0.612	0.36	0.6	0.0	0.798	0.814
eti121	0.966	0.788	0.792	0.894	0.808	0.79	0.992	0.816	0.798	0.78	0.96	0.8	0.788	0.796	0.782	0.78	0.788	0.79	0.79	0.778	0.798	0.0	0.864
eti125	0.838	0.756	0.738	0.882	0.85	0.714	0.882	0.888	0.782	0.628	0.814	0.838	0.848	0.808	0.75	0.788	0.728	0.792	0.768	0.722	0.814	0.864	0.0
