	17N1	18N1	18N2	18N3	24N1	24N2	24N3	25N1	25N2	25N3	26N2	26N3	27N1	27N2	27N3
17N1	0.0	0.5768421052631579	0.751578947368421	0.7389473684210527	0.8	0.8968421052631579	0.9305263157894736	0.9768421052631578	0.9852631578947368	0.9557894736842105	0.968421052631579	0.9978947368421053	0.9431578947368421	0.9094736842105263	0.9494736842105264
18N1	0.5768421052631579	0.0	0.6294736842105263	0.5389473684210526	0.6757894736842105	0.9010526315789473	0.8273684210526315	0.88	0.8442105263157895	0.7368421052631579	0.8210526315789474	1.0	0.7431578947368421	0.7684210526315789	0.8421052631578947
18N2	0.751578947368421	0.6294736842105263	0.0	0.44842105263157894	0.8526315789473684	0.9010526315789473	0.9578947368421052	0.96	0.92	0.8126315789473684	0.9094736842105263	0.9894736842105263	0.7705263157894737	0.7557894736842106	0.9073684210526316
18N3	0.7389473684210527	0.5389473684210526	0.44842105263157894	0.0	0.8168421052631579	0.8968421052631579	0.92	0.9242105263157895	0.8652631578947368	0.6778947368421052	0.8568421052631578	1.0	0.7368421052631579	0.5831578947368421	0.871578947368421
24N1	0.8	0.6757894736842105	0.8526315789473684	0.8168421052631579	0.0	0.7663157894736842	0.7726315789473684	0.8	0.8589473684210527	0.8084210526315789	0.8378947368421052	0.9978947368421053	0.8568421052631578	0.9073684210526316	0.8589473684210527
24N2	0.8968421052631579	0.9010526315789473	0.9010526315789473	0.8968421052631579	0.7663157894736842	0.0	0.9136842105263158	0.9621052631578947	0.9536842105263158	0.9136842105263158	0.9747368421052631	0.9978947368421053	0.9810526315789474	0.8736842105263158	0.9957894736842106
24N3	0.9305263157894736	0.8273684210526315	0.9578947368421052	0.92	0.7726315789473684	0.9136842105263158	0.0	0.6526315789473685	0.7010526315789474	0.6778947368421052	0.6526315789473685	0.9894736842105263	0.7368421052631579	0.9010526315789473	0.8989473684210526
25N1	0.9768421052631578	0.88	0.96	0.9242105263157895	0.8	0.9621052631578947	0.6526315789473685	0.0	0.38105263157894737	0.37684210526315787	0.608421052631579	0.9957894736842106	0.5494736842105263	0.9157894736842105	0.8947368421052632
25N2	0.9852631578947368	0.8442105263157895	0.92	0.8652631578947368	0.8589473684210527	0.9536842105263158	0.7010526315789474	0.38105263157894737	0.0	0.3431578947368421	0.5705263157894737	0.9810526315789474	0.5431578947368421	0.8673684210526316	0.8778947368421053
25N3	0.9557894736842105	0.7368421052631579	0.8126315789473684	0.6778947368421052	0.8084210526315789	0.9136842105263158	0.6778947368421052	0.37684210526315787	0.3431578947368421	0.0	0.5536842105263158	1.0	0.4673684210526316	0.6210526315789474	0.8568421052631578
26N2	0.968421052631579	0.8210526315789474	0.9094736842105263	0.8568421052631578	0.8378947368421052	0.9747368421052631	0.6526315789473685	0.608421052631579	0.5705263157894737	0.5536842105263158	0.0	0.96	0.5768421052631579	0.8652631578947368	0.8757894736842106
26N3	0.9978947368421053	1.0	0.9894736842105263	1.0	0.9978947368421053	0.9978947368421053	0.9894736842105263	0.9957894736842106	0.9810526315789474	1.0	0.96	0.0	1.0	0.9852631578947368	1.0
27N1	0.9431578947368421	0.7431578947368421	0.7705263157894737	0.7368421052631579	0.8568421052631578	0.9810526315789474	0.7368421052631579	0.5494736842105263	0.5431578947368421	0.4673684210526316	0.5768421052631579	1.0	0.0	0.7726315789473684	0.7389473684210527
27N2	0.9094736842105263	0.7684210526315789	0.7557894736842106	0.5831578947368421	0.9073684210526316	0.8736842105263158	0.9010526315789473	0.9157894736842105	0.8673684210526316	0.6210526315789474	0.8652631578947368	0.9852631578947368	0.7726315789473684	0.0	0.8989473684210526
27N3	0.9494736842105264	0.8421052631578947	0.9073684210526316	0.871578947368421	0.8589473684210527	0.9957894736842106	0.8989473684210526	0.8947368421052632	0.8778947368421053	0.8568421052631578	0.8757894736842106	1.0	0.7389473684210527	0.8989473684210526	0.0
